assertion_id,snippet_id,oai_revision,relative_path,file_sha256,fact,snippet,occurrence_count,first_line,line_text,verified
5,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI averages SSS digital power over resource elements and receive antennas.,const int k_start = 56;,1,123,const int k_start = 56;,True
5,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI averages SSS digital power over resource elements and receive antennas.,const int k_end = 183;,1,124,const int k_end = 183;,True
5,3,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI averages SSS digital power over resource elements and receive antennas.,rsrp /= nb_re;,1,138,rsrp /= nb_re;,True
6,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,The unquantized logarithmic RSRP value is assigned to the standard integer-dBm field.,float rsrp_db_per_re = 10 * log10(rsrp_avg);,1,188,float rsrp_db_per_re = 10 * log10(rsrp_avg);,True
6,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,The unquantized logarithmic RSRP value is assigned to the standard integer-dBm field.,ue->measurements.ssb_rsrp_dBm[ssb_index] = rsrp_db_per_re + 30,1,195,ue->measurements.ssb_rsrp_dBm[ssb_index] = rsrp_db_per_re + 30 - SQ15_SQUARED_NORM_FACTOR_DB,True
7,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/CMakeLists.txt,2262a3a0bd40d1fd7c0a4f2a5c75b40b829546bb2c2de2734b78ede83cf7609c,The VRTSIM external-taps client exists but is disabled by default and requires an explicit build option.,add_boolean_option(OAI_VRTSIM_TAPS_CLIENT OFF,1,30,"add_boolean_option(OAI_VRTSIM_TAPS_CLIENT OFF ""Enable taps client"" ON)",True
7,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/CMakeLists.txt,2262a3a0bd40d1fd7c0a4f2a5c75b40b829546bb2c2de2734b78ede83cf7609c,The VRTSIM external-taps client exists but is disabled by default and requires an explicit build option.,if (OAI_VRTSIM_TAPS_CLIENT),2,31,if (OAI_VRTSIM_TAPS_CLIENT),True
8,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/README.md,578e8f1937bd3bc0e085ae40c1272b4a64277e614334c002e5062682c956b47a,VRTSIM can receive external channel impulse responses over its taps interface.,receive external taps (or channel impulse responses),1,52,channel emulation server and receive external taps (or channel impulse responses).,True
8,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/README.md,578e8f1937bd3bc0e085ae40c1272b4a64277e614334c002e5062682c956b47a,VRTSIM can receive external channel impulse responses over its taps interface.,--taps-socket,1,53,"To use external taps, use `--taps-socket` and provide a nanomsg PUB socket address",True
9,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/cirdb_provider.c,369b5b1f8bf384a3981899e753caa1a5adb0a91bd8f65679a0f1ca578090e1c7,The pinned CIRDB provider selects stored entries by speed metadata and replays snapshots at the stored interval.,want_speed_mps = want_speed,1,195,".want_speed_mps = want_speed,",True
9,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/cirdb_provider.c,369b5b1f8bf384a3981899e753caa1a5adb0a91bd8f65679a0f1ca578090e1c7,The pinned CIRDB provider selects stored entries by speed metadata and replays snapshots at the stored interval.,G.snapshot_dt_s = m.snapshot_dt_s;,1,259,G.snapshot_dt_s = m.snapshot_dt_s;,True
9,3,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/vrtsim/cirdb_provider.c,369b5b1f8bf384a3981899e753caa1a5adb0a91bd8f65679a0f1ca578090e1c7,The pinned CIRDB provider selects stored entries by speed metadata and replays snapshots at the stored interval.,"load_snapshot_and_publish(G, s);",1,320,"load_snapshot_and_publish(G, s);",True
